intersection_name,city_name,synchro_INTID,file_name,intersection_id,coord_x,coord_y
College & McKellips," Tempe, AZ",2,,0,-111.93520998206698,33.45110998184006
Scottsdale Road & McKellips," Tempe, AZ",3,,1,-111.9264600295231,33.45123998515831
Priest Drive & Center Pkwy," Tempe, AZ",5,,2,-111.95499001627554,33.44458001826172
Priest Drive & 202 EB," Tempe, AZ",6,,3,-111.96302683398818,33.32039738504338
Scottsdale Road & Weber Drive," Tempe, AZ",7,,4,-111.92643002230973,33.4439900160972
Mill Avenue & Washington St & Curry Rd," Tempe, AZ",8,,5,-111.94347998683503,33.43764998644481
College & Curry Rd," Tempe, AZ",9,,6,-111.93081996027884,33.440220003686946
Scottsdale Road & Curry Rd," Tempe, AZ",10,,7,-111.92634000066963,33.44061998810648
Miller & Curry Rd," Tempe, AZ",11,,8,-111.91793999258333,33.440319999791825
McClintock Drive & Curry Rd," Tempe, AZ",12,,9,-111.9095499589618,33.44038998868335
Priest Drive & Rio Salado Parkway," Tempe, AZ",13,,10,-111.96097000127703,33.42961999747419
Hardy & Rio Salado Parkway," Tempe, AZ",14,,11,-111.95240000819433,33.43099999401299
Ash Street & Rio Salado Parkway," Tempe, AZ",16,,12,-111.94257997998156,33.429239982938974
Scottsdale Road & 202," Tempe, AZ",17,,13,,
Rural Road & Scottsdale Road & Rio Salado Parkway," Tempe, AZ",18,,14,,
McClintock Drive & 202," Tempe, AZ",19,,15,,
McClintock Drive & Rio Salado Parkway," Tempe, AZ",20,,16,-111.90907998565076,33.42932000915954
Packard Dr & Rio Salado Parkway," Tempe, AZ",21,,17,-111.92929001149223,33.42866999256829
Price Freeway SB & Rio Salado Parkway," Tempe, AZ",22,,18,,
Ash Street & 5th Street," Tempe, AZ",23,,19,-111.943340009052,33.425489982322546
Priest Drive & 5th Street," Tempe, AZ",24,,20,-111.96097997574181,33.42561001117602
Beck & University Drive," Tempe, AZ",25,,21,-111.95647000891924,33.42192000403158
Mill Avenue & 5th Street," Tempe, AZ",27,,22,-111.94008003544998,33.42549999869685
Mill Avenue & 4th Street," Tempe, AZ",28,,23,-111.75210998940845,33.42108998606963
Mill Avenue & Rio Salado Parkway," Tempe, AZ",29,,24,-111.93996998106128,33.429580015796034
Mill Avenue & 6th Street," Tempe, AZ",30,,25,-111.93996998106128,33.424360017955465
Mill Avenue & 7th Street," Tempe, AZ",31,,26,-111.94006997716616,33.42316999725213
Rural Road & 6th Street," Tempe, AZ",33,,27,-111.926370007883,33.42451001211279
Lindon & University Drive," Tempe, AZ",34,,28,-111.96520998699833,33.421939994870655
52nd Street & University Drive," Tempe, AZ",35,,29,-111.9695700015731,33.421939994870655
Priest Drive & University Drive," Tempe, AZ",36,,30,-111.96091996131507,33.421939994870655
Perry Lane & Rio Salado Parkway," Tempe, AZ",37,,31,-111.90477001103795,33.42919000584129
Hardy & University Drive," Tempe, AZ",38,,32,-111.95219004151978,33.42190001319251
Roosevelt & University Drive," Tempe, AZ",39,,33,-111.94725997371006,33.42188999681821
Farmer & University Drive," Tempe, AZ",40,,34,-111.94423997399595,33.42188999681821
Ash Street & University Drive," Tempe, AZ",41,,35,-111.94236997139751,33.42192000403158
McClintock Drive & Tempe Marketplace," Tempe, AZ",42,,36,-111.90929003614434,33.43208000223714
Mill Avenue & University Drive," Tempe, AZ",43,,37,-111.94000996273942,33.42192000403158
Myrtle Avenue & University Drive," Tempe, AZ",44,,38,-111.93813996014099,33.421950011244945
Forest & University Drive," Tempe, AZ",45,,39,-111.93662996028392,33.421950011244945
College Avenue & University Drive," Tempe, AZ",46,,40,-111.93500001539243,33.421950011244945
Van Ness & University Drive," Tempe, AZ",47,,41,-111.95901979282841,33.42193002040588
Packard Dr & 6th Street," Tempe, AZ",48,,42,-111.92906001206909,33.42430000352873
Rural Road & University Drive," Tempe, AZ",49,,43,-111.92630001899148,33.422009983762166
Dorsey Lane & University Drive," Tempe, AZ",50,,44,-111.91764997873346,33.422009983762166
McClintock Drive & University Drive," Tempe, AZ",51,,45,-111.90910001839934,33.4219899929231
Normal Ave & Apache Boulevard," Tempe, AZ",52,,46,-111.93276003558783,33.41466001859618
Smith Rd & University Drive," Tempe, AZ",53,,47,-111.90050001810329,33.42210000540227
Paseo Del Saber & Apache Boulevard," Tempe, AZ",54,,48,-111.5720699781422,33.415079993854775
Price Freeway SB & University Drive," Tempe, AZ",55,,49,-111.89107004175479,33.42190998765729
Hayden Ferry & Rio Salado Parkway," Tempe, AZ",56,,50,,
Evergreen Road & University Drive," Tempe, AZ",57,,51,-111.8829799964479,33.42213001261564
MH West & Rio Salado Parkway," Tempe, AZ",58,,52,-111.8918424472223,33.42936919221862
MH East & Rio Salado Parkway," Tempe, AZ",59,,53,-111.8918424472223,33.42936919221862
Mill Avenue & 10th Street," Tempe, AZ",60,,54,-111.93999998827465,33.41904999847479
Smith Rd & Rio Salado Parkway," Tempe, AZ",61,,55,-111.90044997814132,33.429229987519435
McAllister Avenue & Terrace Road," Tempe, AZ",62,,56,-111.92883001264596,33.41842998909691
Rural Road & Terrace Road," Tempe, AZ",63,,57,-111.92628996070768,33.420230002803834
Rural Road & Lemon Street," Tempe, AZ",64,,58,-111.92628996070768,33.416819993134965
Ped Crossing & McAllister Avenue," Tempe, AZ",65,,59,-111.9320965996191,33.34374878758978
McClintock Drive & Don Carlos Rd," Tempe, AZ",66,,60,-111.90910999286413,33.417459993351926
52nd Street & 14th Street," Tempe, AZ",67,,61,-111.96950998714637,33.413569993997726
Priest Drive & 14th Street," Tempe, AZ",68,,62,,
Priest Drive & 13th Street," Tempe, AZ",69,,63,-111.960830023494,33.414680009435244
Hardy & 13th Street," Tempe, AZ",70,,64,-111.9521700087712,33.414650002221876
Apache Boulevard & Mill Avenue," Tempe, AZ",72,,65,-111.93996998106128,33.417060008932395
Forest & Apache Boulevard," Tempe, AZ",73,,66,-111.936580004141,33.414739981952465
College Avenue & Apache Boulevard," Tempe, AZ",74,,67,-111.9349400009657,33.414650002221876
McAllister Avenue & Apache Boulevard," Tempe, AZ",75,,68,-111.93063002635289,33.414680009435244
Rural Road & Apache Boulevard," Tempe, AZ",76,,69,-111.92630999345626,33.41470000027432
52nd Street & Broadway Road," Tempe, AZ",80,,70,-111.96582999637621,33.4075299945695
Rural Road & Spence Ave," Tempe, AZ",82,,71,-111.92627998624289,33.412860004889254
48th Street & Broadway Road," Tempe, AZ",83,,72,-111.97827997243883,33.40731998598544
48th Street & Broadway Frontage," Tempe, AZ",84,,73,-111.97827997243883,33.40731998598544
Old 52nd & Broadway Road," Tempe, AZ",85,,74,-111.96582999637621,33.4075299945695
Priest Drive & Broadway Road," Tempe, AZ",86,,75,-111.96077000906728,33.40742999846462
Industrial Park Avenue & Beck Avenue & Broadway Road," Tempe, AZ",87,,76,-111.95523996462823,33.40739999125125
Hardy & Broadway Road," Tempe, AZ",88,,77,-111.95216003430642,33.407390016786465
Roosevelt Street & Broadway Road," Tempe, AZ",89,,78,-111.94780999419643,33.407380000412175
Broadway Road & Broadway Frontage," Tempe, AZ",90,,79,-111.96582999637621,33.4075299945695
Mill Avenue & Broadway Road," Tempe, AZ",91,,80,-111.93985003602684,33.40741000762554
College Avenue & Broadway Road," Tempe, AZ",92,,81,-111.93490001928755,33.407380000412175
Rural Road & Vista Del Corro," Tempe, AZ",93,,82,,
Rural Road & Broadway Road," Tempe, AZ",94,,83,-111.92627998624289,33.40744001483891
Terrace Road & Broadway Road," Tempe, AZ",96,,84,-111.92257996272416,33.407449989303686
Dorsey Lane & Broadway Road," Tempe, AZ",97,,85,-111.91767998594683,33.40744001483891
McClintock Drive & Broadway Road," Tempe, AZ",99,,86,-111.90907998565076,33.40742999846462
College & Continental," Tempe, AZ",101,,87,-111.9350099898572,33.45835001834591
River Drive & Broadway Road," Tempe, AZ",102,,88,-111.89771999227708,33.40742999846462
Price Freeway SB & Broadway Road," Tempe, AZ",103,,89,-111.89105998347097,33.4073600095731
Priest Drive & Fountainhead Pkwy," Tempe, AZ",104,,90,-111.96081996521019,33.40368999326773
Priest Drive & Fairmont Dr," Tempe, AZ",105,,91,-111.96077000906728,33.39646998951048
Rural Road & Broadmor Drive," Tempe, AZ",106,,92,-111.92630001899148,33.40352998273612
48th Street & Cotton Center Blvd," Tempe, AZ",107,,93,-111.97830000518742,33.40352998273612
48th Street & Alameda Dr," Tempe, AZ",108,,94,,
Priest Drive & Alameda Dr," Tempe, AZ",109,,95,-111.96076003460249,33.40014000581584
Hardy & Alameda Dr," Tempe, AZ",110,,96,-111.95210999434447,33.400109998602474
Mill Avenue & Alameda Dr," Tempe, AZ",111,,97,-111.93969999996,33.400109998602474
College Avenue & Alameda Dr," Tempe, AZ",112,,98,-111.93488996100373,33.40015999665491
Rural Road & Alameda Dr," Tempe, AZ",113,,99,-111.92630001899148,33.40024000192072
McClintock Drive & Alameda Drive," Tempe, AZ",114,,100,-111.9091199673289,33.40014000581584
McClintock Drive & Campus Drive," Tempe, AZ",115,,101,-111.90913002561271,33.398380015696574
McClintock Drive & Del Rio Drive," Tempe, AZ",116,,102,-111.9091199673289,33.39656998561536
Mill Avenue & Broadmor Dr," Tempe, AZ",117,,103,-111.93973998163814,33.40258001973973
48th Street & Southern Ave," Tempe, AZ",118,,104,-111.97836001961416,33.39277000790125
Potter & Southern Ave," Tempe, AZ",119,,105,-111.97229001297256,33.39280001511462
Priest Drive & Southern Ave," Tempe, AZ",120,,106,-111.96077998353205,33.39285998763184
Hardy & Southern Ave," Tempe, AZ",121,,107,,
Roosevelt Street & Southern Ave," Tempe, AZ",122,,108,-111.94778996144784,33.39283999679277
Kyrene Rd. & Southern Ave," Tempe, AZ",123,,109,-111.94367000458001,33.39283999679277
Mill Avenue & Southern Ave," Tempe, AZ",124,,110,-111.93960000385512,33.39285998763184
College Avenue & Southern Ave," Tempe, AZ",125,,111,-111.93490001928755,33.39290001121951
Butte Ave & Southern Ave," Tempe, AZ",126,,112,-111.91136003095254,33.392989990950085
Rural Road & Southern Ave," Tempe, AZ",127,,113,-111.92634000066963,33.39295998373673
Terrace Rd & Southern Ave," Tempe, AZ",128,,114,-111.92299000542751,33.39295998373673
Dorsey Ave & Southern Ave," Tempe, AZ",129,,115,-111.91773002590878,33.39298001648531
McClintock Drive & Southern Ave," Tempe, AZ",130,,116,-111.90913002561271,33.39297000011102
Los Feliz Drive & Southern Ave," Tempe, AZ",131,,117,,
Country Club Way & Southern Ave," Tempe, AZ",132,,118,-111.9005499742462,33.39300000732439
13th Street & Apache Boulevard," Tempe, AZ",134,,119,-111.93828002174305,33.41494001607175
Price Freeway SB & Southern Ave," Tempe, AZ",135,,120,-111.89101002732806,33.392820005953695
Evergreen & Southern Ave," Tempe, AZ",138,,121,-111.88327001029778,33.39300998178916
Mill Avenue & Hermosa Drive," Tempe, AZ",139,,122,-111.93950998221501,33.38819001027764
Priest Drive & US 60 WB," Tempe, AZ",140,,123,-111.96091996131507,33.38758001727404
Mill Avenue & US 60 WB," Tempe, AZ",141,,124,-111.93949003328547,33.38565000024887
Rural Road & US 60 WB," Tempe, AZ",142,,125,,
Rio Salado Parkway & 1st Street," Tempe, AZ",143,,126,-111.96966999767798,33.42907999336211
McClintock Drive & US 60 WB," Tempe, AZ",144,,127,-111.90927000339575,33.38581001078049
Rural Road & Embassy Suites," Tempe, AZ",147,,128,-111.92882999999995,33.38412000000005
Rural Road & Southshore," Tempe, AZ",149,,129,-111.92863999490098,33.37212001596211
Rural Road & Minton," Tempe, AZ",150,,130,-111.92850001711794,33.37992997997438
Calle Los Cerros & Baseline," Tempe, AZ",152,,131,-111.97406001946612,33.37821001344277
Point Pkwy & Baseline," Tempe, AZ",153,,132,-111.95788609166844,33.378240020656136
Wendler & Baseline," Tempe, AZ",154,,133,,
I-10 EB on-ramp & Baseline," Tempe, AZ",155,,134,-111.96812001614278,33.37836998206487
Priest Drive & Baseline," Tempe, AZ",156,,135,-111.96316002493872,33.37824999512091
Darrow Dr & Baseline," Tempe, AZ",157,,136,-111.96112003734387,33.37824999512091
Hardy & Baseline," Tempe, AZ",159,,137,-111.95246002262107,33.37821001344277
Kyrene & Baseline," Tempe, AZ",160,,138,-111.943860022325,33.37821001344277
Mill Avenue & Baseline," Tempe, AZ",162,,139,-111.9393499716834,33.378219987907556
College & Baseline," Tempe, AZ",163,,140,-111.93524996374512,33.378230004281846
Rural Road & Baseline," Tempe, AZ",165,,141,-111.92869003486292,33.37824999512091
Lakeshore & Baseline," Tempe, AZ",166,,142,-111.92056998234268,33.378319984012435
McClintock Drive & Baseline," Tempe, AZ",168,,143,-111.90926002893097,33.378429996491604
County Club Way & Baseline," Tempe, AZ",170,,144,-111.93723999999997,33.42551000000003
Priest & Grove Parkway," Tempe, AZ",171,,145,-111.96250502111508,33.35166500804558
Price Freeway SB & Baseline," Tempe, AZ",172,,146,-111.89296996774756,33.37854000897079
Rural Road & Westchester," Tempe, AZ",174,,147,-111.92861996215238,33.36739999864595
McClintock Drive & Southshore & Cornell," Tempe, AZ",175,,148,-111.9113000165258,33.37222001206699
McClintock Drive & Watson," Tempe, AZ",177,,149,-111.91127998377722,33.369389988188345
Hardy & Guadalupe," Tempe, AZ",178,,150,,
Kyrene & Guadalupe," Tempe, AZ",180,,151,-111.94587997717126,33.36365001898429
Maple & Guadalupe," Tempe, AZ",181,,152,-111.93900002722582,33.363700017036734
Rural Road & Guadalupe," Tempe, AZ",183,,153,-111.92860001322282,33.36375001508917
Lakeshore & Guadalupe," Tempe, AZ",184,,154,-111.91990999128666,33.363759989553955
McClintock Drive & Guadalupe," Tempe, AZ",186,,155,-111.91123002763429,33.363770005928245
Country Club Way & Guadalupe," Tempe, AZ",188,,156,-111.90260002012485,33.36380998760639
Price Freeway NB & Guadalupe," Tempe, AZ",191,,157,-111.8938100020838,33.36395000729894
Rural Road & Bell De Mar," Tempe, AZ",193,,158,-111.92854997326087,33.35794998954886
McClintock Drive & Bell De Mar," Tempe, AZ",195,,159,,
Kyrene & Grove Parkway," Tempe, AZ",196,,160,,
Rural Road & Western Canal Path," Tempe, AZ",197,,161,-111.9583596860041,33.38580860776606
McClintock Drive & Western Canal Path," Tempe, AZ",198,,162,-111.93723999999997,33.42551000000003
Mill Avenue & Apache Boulevard," Tempe, AZ",201,,163,-111.93996998106128,33.417060008932395
I-10 EB & Elliot," Tempe, AZ",202,,164,-111.97206001354944,33.348969995672334
Harl & Elliot," Tempe, AZ",203,,165,,
Priest & Elliot," Tempe, AZ",204,,166,-111.96323001383023,33.34901999372478
Beck & Elliot," Tempe, AZ",205,,167,-111.9540506369522,33.34922604642852
Hardy & Elliot," Tempe, AZ",206,,168,-111.95444997025395,33.34906999177721
Kyrene & Elliot," Tempe, AZ",208,,169,,
Canal & Elliot," Tempe, AZ",209,,170,-111.9540506369522,33.34922604642852
Rural Road & Elliot," Tempe, AZ",210,,171,-111.92847000990457,33.349110015364886
Lakeshore & Elliot," Tempe, AZ",213,,172,-111.91980002071699,33.34908998261629
McClintock Drive & Elliot," Tempe, AZ",215,,173,-111.91120002042092,33.349039984563845
Los Feliz & Elliot," Tempe, AZ",216,,174,,
River & Elliot," Tempe, AZ",219,,175,,
Price Freeway SB & Elliot," Tempe, AZ",220,,176,-111.89368997323034,33.34944998535768
Priest & Auto Dr," Tempe, AZ",221,,177,-111.96313001772535,33.345489997111954
Rural Road & Carver," Tempe, AZ",222,,178,-111.9284400026912,33.341920018820986
Scottsdale Road & Playa Del Norte," Tempe, AZ",224,,179,,
Scottsdale Road & Hancock Avenue," Tempe, AZ",225,,180,-111.92643999677452,33.44665001306993
Priest & Ruby," Tempe, AZ",226,,181,-111.96311995944154,33.34020998484465
Harl & Warner," Tempe, AZ",228,,182,-111.96668997964201,33.33450999731873
Priest & Warner," Tempe, AZ",229,,183,-111.96313001772535,33.33452998815781
Hardy & Warner," Tempe, AZ",231,,184,-111.9543199669357,33.33455999537118
Kyrene & Warner," Tempe, AZ",232,,185,,
Rural Road & Warner," Tempe, AZ",236,,186,-111.92840999547784,33.33467000785035
McClintock Drive & Warner," Tempe, AZ",240,,187,-111.91117001320755,33.334650017011285
Priest & Lisa," Tempe, AZ",243,,188,,
River Parkway & Warner," Tempe, AZ",244,,189,-111.89777003223904,33.33477000395524
Price Freeway SB & Warner," Tempe, AZ",245,,190,,
52nd Street & Rio Salado Parkway & Bus Maintenance," Tempe, AZ",246,,191,-111.96966999767798,33.42907999336211
Lakeside Dr & Rio Salado Parkway," Tempe, AZ",247,,192,-111.94742995870645,33.43091998874718
Rural Road & Knox," Tempe, AZ",248,,193,,
Pier Drive & Rio Salado Parkway," Tempe, AZ",249,,194,-111.91790998536996,33.429199980306066
AZ Mills South & Baseline," Tempe, AZ",250,,195,-111.96546999363484,33.37839001481346
Priest Drive & AZ Mills East," Tempe, AZ",251,,196,-111.96093999406366,33.38466001366483
Darrow Dr & Priest Drive," Tempe, AZ",252,,197,-111.96159001065492,33.38064998545714
Rural Road & Alexander Blvd," Tempe, AZ",253,,198,-111.92823003601666,33.32379000416202
SR 143 SB & SR 143 & SR 143 NB," Tempe, AZ",264,,199,,
Price Freeway NB & Broadway Road," Tempe, AZ",303,,200,,
Priest Drive & 202 WB," Tempe, AZ",306,,201,-111.96302683398818,33.32039738504338
202 & 202 EB," Tempe, AZ",317,,202,,
Price Freeway NB & Rio Salado Parkway," Tempe, AZ",322,,203,,
Center Pkwy & 202 EB," Tempe, AZ",331,,204,,
Center Pkwy & 202 WB," Tempe, AZ",334,,205,,
Price Freeway NB & Southern Ave," Tempe, AZ",335,,206,-111.89101002732806,33.392820005953695
Priest Drive & US 60 EB," Tempe, AZ",340,,207,,
Mill Avenue & US 60 EB," Tempe, AZ",341,,208,,
Rural Road & US 60 EB," Tempe, AZ",342,,209,-111.92657997455754,33.38548001525247
McClintock Drive & US 60 EB," Tempe, AZ",344,,210,-111.90927000339575,33.385600002196426
I-10 WB on-ramp & Baseline," Tempe, AZ",355,,211,,
Price Freeway NB & Baseline," Tempe, AZ",372,,212,-111.89296996774756,33.37854000897079
Price Freeway SB & Price Freeway NB," Tempe, AZ",391,,213,-111.89184397834492,33.38207191379389
I-10 WB & Elliot," Tempe, AZ",402,,214,-111.97176999969956,33.348969995672334
Price Freeway NB & Price Freeway SB," Tempe, AZ",411,,215,-111.89184397834492,33.38207191379389
Price Freeway NB & Elliot," Tempe, AZ",420,,216,,
Price Freeway NB & Warner," Tempe, AZ",445,,217,,
Curry & Washington St," Tempe, AZ",474,,218,-111.94335501265869,33.437535007688
202 & 202 WB," Tempe, AZ",496,,219,-111.64740996046336,33.20860999785765
SR 143 & SR 143 SB & SR 143 NB ," Tempe, AZ",498,,220,-111.97827997243883,33.40731998598544
56th St & Washington St," Tempe, AZ",500,,221,,
Priest Drive & Curry," Tempe, AZ",503,,222,-111.96302683398818,33.32039738504338
Papago Hills (Future) & Papago Hills & Curry & Washington St," Tempe, AZ",504,,223,,
Parkside Drive & Parkside Drive (Future) & Washington St," Tempe, AZ",505,,224,-111.88354996586384,33.209610000815985
Center Pkwy & Washington St," Tempe, AZ",506,,225,-111.94882998799385,33.4392200007286
Center Pkwy Station & Washington St," Tempe, AZ",507,,226,-111.94882998799385,33.4392200007286
Ash Street & 3rd Street," Tempe, AZ",509,,227,-111.94277003963607,33.4275300118269
Mill Avenue & 3rd Street," Tempe, AZ",511,,228,-111.94008003544998,33.42738001766958
College Avenue & PED & 5th Street & Veterans Way," Tempe, AZ",512,,229,,
Veterans Ped Cross & Veterans Way," Tempe, AZ",513,,230,,
ASU Ped #2 & Veterans Way," Tempe, AZ",514,,231,-111.93472281812032,33.42532989904794
6th Street & Veterans Way," Tempe, AZ",515,,232,,
McAllister Avenue & Veterans Way & University Drive," Tempe, AZ",516,,233,-111.92892003428607,33.42200000929739
Rural Road & Tyler Street & Terrace Road," Tempe, AZ",517,,234,,
Terrace Road & Ped Crossing," Tempe, AZ",519,,235,-111.92334751564154,33.338646567604904
Lemon Street & Terrace Road," Tempe, AZ",520,,236,-111.92247996661928,33.416730013404376
Terrace Road & Apache Boulevard," Tempe, AZ",521,,237,-111.92047996070258,33.41488000164502
Dorsey Lane & Apache Boulevard," Tempe, AZ",522,,238,-111.91767998594683,33.414650002221876
Firestation & Apache Boulevard," Tempe, AZ",523,,239,,
Una-Butte Avenue & Apache Boulevard," Tempe, AZ",524,,240,-111.91231003585845,33.414680009435244
McClintock Drive & Apache Boulevard," Tempe, AZ",525,,241,-111.90910999286413,33.41461002054373
Park-n-Ride & Apache Boulevard," Tempe, AZ",526,,242,,
Police Substation & Apache Boulevard," Tempe, AZ",527,,243,-111.90549999999996,33.41465000000005
Martin Lane & Apache Boulevard," Tempe, AZ",528,,244,-111.90155001911407,33.41466001859618
River Drive & Apache Boulevard," Tempe, AZ",530,,245,-111.89620001795525,33.414669993060954
Price Freeway SB & Apache Boulevard," Tempe, AZ",532,,246,,
Price Freeway NB & Apache Boulevard," Tempe, AZ",533,,247,-111.89122996846739,33.414680009435244
101 Park-n-Ride & Apache Boulevard," Tempe, AZ",534,,248,,
Lebanon Lane & Apache Boulevard," Tempe, AZ",536,,249,-111.88626000279852,33.414739981952465
Tempe Canal & Apache Boulevard," Tempe, AZ",537,,250,,
48th Street & Baseline," Tempe, AZ",744,,251,-111.97846001571904,33.37818998069419
I-10 EB & Warner," Tempe, AZ",745,,252,,
I-10 WB & Warner," Tempe, AZ",746,,253,-111.97205003908465,33.33427999789561
SR 143 & University Drive," Tempe, AZ",747,,254,-111.97803002408614,33.42188999681821
Smith Road & Apache Boulevard," Tempe, AZ",1990,,255,-111.90047998535469,33.41486998527071
Lemon Street & McAllister Avenue," Tempe, AZ",7054,,256,-111.92936997484853,33.416650008138575
Price Freeway NB & University Drive," Tempe, AZ",8055,,257,-111.89107004175479,33.42190998765729
